"procarnumcod","fromarportcod","toarportcod","spacod","UpliftRestrictions","ThroughSPAflag","MultilateralCarrier","InvoluntaryRerouted","InvoluntaryEndorsed","Indemnification","sidetrip","originalreissueflg","Transportation","ownSurchargebilling","mixedclassoptions","sectorFareComponent","spaoncodeshare","OALsurchargebilling","spashareflag","FRMLAT","FRMLON","TOOLAT","TOOLON","bilamt","bilcnt","outcome"
"205","NRT","CEB","11","U","E","U","E","U","E","U","M","U","U","Q","U","U","M","U","35.764701840","140.386001600","10.307499890","123.978996300","748.88","11","2"
"006","TYS","ATL","21","U","E","U","E","U","E","U","M","U","U","Q","U","U","M","U","35.811000820","-83.994003300","33.636700000","-84.428101000","749.78","20","2"
"838","YQR","YWG","6","U","E","U","E","U","E","U","M","U","U","Q","U","U","M","U","50.431900020","-104.666000400","49.909999850","-97.239898680","749.86","5","1"
"173","MNL","SFO","37","U","E","U","E","U","E","U","M","U","U","Q","U","U","M","U","14.508600000","121.019997000","37.618999480","-122.375000000","750","1","0"
"589","BOM","SIN","6","U","E","U","E","U","E","U","M","U","U","Q","U","U","M","U","19.088699340","72.867897030","1.350190000","103.994003000","750","4","1"
"043","BKK","MNL","27","U","E","U","E","U","E","U","M","U","U","Q","U","U","M","U","13.681099890","100.747001600","14.508600000","121.019997000","750","5","1"
"731","PEK","XMN","3","U","E","U","E","U","E","U","M","U","U","Q","U","U","M","U","40.080101010","116.584999100","24.544000630","118.127998400","750","5","1"
"126","MES","CGK","3","U","E","U","E","U","E","U","M","U","U","Q","U","U","M","U","3.559167000","98.671111000","-6.125569820","106.655998200","750","5","1"
"999","SIN","MNL","8","U","E","U","E","U","E","U","M","U","U","Q","U","U","M","U","1.350190000","103.994003000","14.508600000","121.019997000","750","5","1"
"695","BKK","MNL","10","U","E","U","E","U","E","U","M","U","U","Q","U","U","M","U","13.681099890","100.747001600","14.508600000","121.019997000","750","5","1"
"176","MNL","BKK","1","U","E","U","E","U","E","U","M","U","U","Q","U","U","M","U","14.508600000","121.019997000","13.681099890","100.747001600","750","5","1"
