"procarnumcod","fromarportcod","toarportcod","spacod","UpliftRestrictions","ThroughSPAflag","MultilateralCarrier","InvoluntaryRerouted","InvoluntaryEndorsed","Indemnification","sidetrip","originalreissueflg","Transportation","ownSurchargebilling","mixedclassoptions","sectorFareComponent","spaoncodeshare","OALsurchargebilling","spashareflag","FRMLAT","FRMLON","TOOLAT","TOOLON","bilamt","bilcnt","outcome"
"077","CAI","BKK","2","Q","M","Q","U","Q","U","E","E","E","A","M","A","A","I","A","30.121900560","31.405599590","13.681099890","100.747001600","500","2","0"
"157","KIX","MNL","15","Q","M","Q","U","Q","U","E","E","E","A","M","A","A","I","A","34.427299500","135.244003300","14.508600000","121.019997000","500","2","0"
"157","MNL","KIX","33","Q","M","Q","U","Q","U","E","E","E","A","M","A","A","I","A","14.508600000","121.019997000","34.427299500","135.244003300","500","2","0"
"006","BOS","LAX","17","Q","M","Q","U","Q","U","E","E","E","A","M","A","A","I","A","42.364299770","-71.005203250","33.942501070","-118.407997100","500","2","0"
"006","MNL","ICN","22","Q","M","Q","U","Q","U","E","E","E","A","M","A","A","I","A","14.508600000","121.019997000","37.469100950","126.450996400","500","2","0"
"589","BOM","HKG","4","Q","M","Q","U","Q","U","E","E","E","A","M","A","A","I","A","19.088699340","72.867897030","22.308901000","113.915001000","500","2","0"
"589","DEL","HKG","10","Q","M","Q","U","Q","U","E","E","E","A","M","A","A","I","A","28.566500000","77.103104000","22.308901000","113.915001000","500","2","0"
"781","HKG","NGB","7","Q","M","Q","U","Q","U","E","E","E","A","M","A","A","I","A","22.308901000","113.915001000","29.826700210","121.461998000","500","4","1"
"829","RGN","BKK","8","Q","M","Q","U","Q","U","E","E","E","A","M","A","A","I","A","16.907300950","96.133201600","13.681099890","100.747001600","500","5","1"
"027","LAX","SLC","10","Q","M","Q","U","Q","U","E","E","E","A","M","A","A","I","A","33.942501070","-118.407997100","40.788398740","-111.977996800","500","5","1"
